country,umd_tree_cover_density_2000__threshold,umd_tree_cover_extent_2000__ha,gfw_aboveground_carbon_stocks_2000__Mg_C,avg_gfw_aboveground_carbon_stocks_2000__Mg_C_ha-1,gfw_forest_carbon_gross_emissions__Mg_CO2e_yr-1,gfw_forest_carbon_gross_removals__Mg_CO2_yr-1,gfw_forest_carbon_net_flux__Mg_CO2e_yr-1,gfw_forest_carbon_gross_emissions_2001__Mg_CO2e,gfw_forest_carbon_gross_emissions_2002__Mg_CO2e,gfw_forest_carbon_gross_emissions_2003__Mg_CO2e,gfw_forest_carbon_gross_emissions_2004__Mg_CO2e,gfw_forest_carbon_gross_emissions_2005__Mg_CO2e,gfw_forest_carbon_gross_emissions_2006__Mg_CO2e,gfw_forest_carbon_gross_emissions_2007__Mg_CO2e,gfw_forest_carbon_gross_emissions_2008__Mg_CO2e,gfw_forest_carbon_gross_emissions_2009__Mg_CO2e,gfw_forest_carbon_gross_emissions_2010__Mg_CO2e,gfw_forest_carbon_gross_emissions_2011__Mg_CO2e,gfw_forest_carbon_gross_emissions_2012__Mg_CO2e,gfw_forest_carbon_gross_emissions_2013__Mg_CO2e,gfw_forest_carbon_gross_emissions_2014__Mg_CO2e,gfw_forest_carbon_gross_emissions_2015__Mg_CO2e,gfw_forest_carbon_gross_emissions_2016__Mg_CO2e,gfw_forest_carbon_gross_emissions_2017__Mg_CO2e,gfw_forest_carbon_gross_emissions_2018__Mg_CO2e,gfw_forest_carbon_gross_emissions_2019__Mg_CO2e,gfw_forest_carbon_gross_emissions_2020__Mg_CO2e,gfw_forest_carbon_gross_emissions_2021__Mg_CO2e,gfw_forest_carbon_gross_emissions_2022__Mg_CO2e
Denmark,10,762417,31019115,41,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,15,718498,29997250,42,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,20,703291,29632441,42,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,25,689182,29296467,43,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,30,663204,28683078,43,1408753.0,5423731.0,-4014977.0,1040094.0,292655.0,387046.0,633926.0,2491770.0,1477749.0,1281113.0,1826931.0,2042046.0,1412350.0,1022174.0,1492032.0,664773.0,1812934.0,893417.0,1617534.0,1540695.0,1137548.0,3335908.0,1210692.0,1956185.0,1423004.0
Denmark,50,561143,26083291,46,1368717.0,4657290.0,-3288573.0,1012950.0,283720.0,374540.0,619211.0,2468656.0,1459853.0,1261767.0,1803342.0,2011913.0,1399437.0,1016067.0,1472759.0,647067.0,1765193.0,859676.0,1550047.0,1465881.0,1078161.0,3171209.0,1142500.0,1882389.0,1365429.0
Denmark,75,310526,16485855,53,1100572.0,2693556.0,-1592984.0,887968.0,240981.0,306900.0,515043.0,2235127.0,1310568.0,1121552.0,1626973.0,1792926.0,1274680.0,955560.0,1326603.0,481470.0,1328574.0,620065.0,1117292.0,1036375.0,747148.0,2166825.0,772146.0,1357348.0,990465.0
Djibouti,0,2186336,23712,0,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,10,13,312,25,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,15,2,58,26,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,20,0,5,67,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,25,0,5,67,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,30,0,5,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Djibouti,50,0,5,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Djibouti,75,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominica,0,75428,7944037,105,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,10,71866,7916604,110,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,15,71487,7897286,110,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,20,71257,7885068,111,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,25,71084,7876146,111,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,30,70925,7867877,111,664013.0,217247.0,446766.0,12966.0,6566.0,15062.0,43876.0,29184.0,14219.0,22373.0,51083.0,42251.0,52405.0,25724.0,83532.0,11774.0,6633.0,1114.0,3895.0,13617006.0,459722.0,34393.0,36375.0,19018.0,19106.0
Dominica,50,70127,7822093,112,663639.0,213830.0,449809.0,12923.0,6566.0,15062.0,43760.0,29019.0,14219.0,22314.0,50993.0,42226.0,52240.0,25698.0,83190.0,11673.0,6543.0,1114.0,3856.0,13610910.0,459372.0,34183.0,36107.0,19018.0,19081.0
Dominica,75,66999,7581814,113,656155.0,201017.0,455138.0,12903.0,6368.0,14843.0,43096.0,28793.0,14196.0,21976.0,50075.0,41689.0,51354.0,25535.0,82423.0,11298.0,6165.0,1114.0,3822.0,13463358.0,450262.0,33514.0,35082.0,18851.0,18696.0
Dominican Republic,0,4809195,185804744,39,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,10,2863286,183240091,64,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,15,2771297,180277343,65,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,20,2696044,177761038,66,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,25,2642530,176029999,67,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,30,2576426,173845570,67,7134951.0,12020175.0,-4885224.0,4196847.0,3779136.0,4235695.0,7790502.0,10243314.0,5338230.0,6590715.0,9160243.0,5805655.0,6110129.0,5570844.0,7855222.0,5218908.0,5871530.0,6691005.0,11756088.0,12998296.0,6538335.0,7073353.0,10300085.0,7134772.0,6710014.0
Dominican Republic,50,2236242,161422424,72,6761248.0,10228560.0,-3467313.0,4057755.0,3626212.0,4085593.0,7543847.0,9988595.0,5068395.0,6314977.0,8826835.0,5537769.0,5851891.0,5320910.0,7566079.0,4763612.0,5490085.0,6283557.0,11219714.0,12319540.0,6001448.0,6524917.0,9595523.0,6632601.0,6127599.0
Dominican Republic,75,1774345,139165496,78,5859575.0,7895153.0,-2035578.0,3562355.0,3165295.0,3650667.0,6785786.0,9094592.0,4428209.0,5627901.0,7879314.0,4855227.0,5145197.0,4628694.0,6686340.0,3704865.0,4542751.0,5347680.0,9993326.0,10810400.0,4919924.0,5335689.0,8098051.0,5546644.0,5101740.0
Ecuador,0,25611545,2228454346,87,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,10,19768488,2209727480,112,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,15,19536119,2200383837,113,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,20,19339750,2192546857,113,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,25,19195968,2186744920,114,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,30,19027559,2179880753,115,27607908.0,63117950.0,-35510042.0,24958116.0,17724842.0,8214941.0,20329276.0,23101309.0,20614178.0,33971780.0,31600141.0,33918780.0,21599282.0,29087375.0,46114203.0,29814774.0,18855784.0,20256154.0,29280420.0,49132811.0,26786354.0,25112202.0,35525010.0,22709350.0,38666900.0
Ecuador,50,17913830,2130127363,119,27202170.0,57660499.0,-30458328.0,24728490.0,17594553.0,8109341.0,20014837.0,22784196.0,20376213.0,33409174.0,31330549.0,33497809.0,21431697.0,28924787.0,45521340.0,28874213.0,18270313.0,19870573.0,28535275.0,48404363.0,26357151.0,24719104.0,35062567.0,22453350.0,38177852.0
Ecuador,75,15841950,2004492828,127,25981891.0,48436032.0,-22454142.0,23816149.0,17062481.0,7824290.0,18875257.0,21633620.0,19438266.0,31281008.0,30127052.0,31898914.0,20760424.0,28257680.0,43593579.0,26604725.0,16746963.0,18873926.0,26846214.0,46521073.0,25223237.0,23662586.0,33889449.0,21753190.0,36911519.0
Egypt,0,98376439,36803660,0,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,10,952015,34805740,37,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,15,898311,32811273,37,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,20,452595,16406015,36,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,25,387158,14018303,36,,,,,,,,,,,,,,,,,,,,,,,,,
